Year,CO2 difference
1958,4.84
1959,5.03
1960,6.2
1961,5.78
1962,5.59
1963,6.26
1964,5.55
1965,4.86
1966,5.91
1967,5.69
1968,5.32
1969,5.56
1970,5.03
1971,5.56
1972,5.14
1973,5.3
1974,5.91
1975,5.59
1976,6.02
1977,5.66
1978,5.66
1979,5.28
1980,5.33
1981,6.08
1982,6.35
1983,5.68
1984,6.23
1985,5.93
1986,5.87
1987,5.57
1988,5.29
1989,5.81
1990,6.01
1991,6.88
1992,6.63
1993,6.16
1994,5.92
1995,5.7
1996,5.59
1997,6.35
1998,5.4
1999,6.18
2000,4.82
2001,5.67
2002,5.21
2003,5.46
2004,6.37
2005,5.75
2006,6.18
2007,5.6
2008,5.55
2009,5.71
2010,6.15
2011,5.19
2012,5.69
2013,6.33
2014,6.4
2015,6.33
2016,6.67
2017,6.32
2018,5.73
2019,6.13
